group_id,bit_size,q,p,subgroup_generator,discovery_order,role
0,5,23,47,25,0,calibration
1,5,29,59,4,1,development
2,6,41,83,4,0,calibration
3,6,53,107,4,1,development
4,7,83,167,25,0,calibration
5,7,89,179,4,1,development
6,7,113,227,4,2,confirmatory
7,8,131,263,25,0,calibration
8,8,173,347,4,1,development
9,8,179,359,49,2,confirmatory
10,8,191,383,25,3,steering
11,8,233,467,4,4,ood
12,9,281,563,4,0,calibration
13,9,293,587,4,1,development
14,9,359,719,121,2,confirmatory
15,9,419,839,121,3,steering
16,9,431,863,25,4,ood
17,10,593,1187,4,0,calibration
18,10,641,1283,4,1,development
19,10,653,1307,4,2,confirmatory
20,10,659,1319,169,3,steering
21,10,683,1367,25,4,ood
22,11,1031,2063,25,0,calibration
23,11,1049,2099,4,1,development
24,11,1103,2207,25,2,confirmatory
25,11,1223,2447,25,3,steering
26,11,1229,2459,4,4,ood
27,12,2063,4127,25,0,calibration
28,12,2069,4139,4,1,development
29,12,2129,4259,4,2,confirmatory
30,12,2141,4283,4,3,steering
31,12,2273,4547,4,4,ood
32,13,4211,8423,25,0,calibration
33,13,4271,8543,25,1,development
34,13,4349,8699,4,2,confirmatory
35,13,4373,8747,4,3,steering
36,13,4391,8783,25,4,ood
37,14,8243,16487,25,0,calibration
38,14,8273,16547,4,1,development
39,14,8513,17027,4,2,confirmatory
40,14,8663,17327,25,3,steering
41,14,8693,17387,4,4,ood
42,15,16421,32843,4,0,calibration
43,15,16493,32987,4,1,development
44,15,16553,33107,4,2,confirmatory
45,15,16673,33347,4,3,steering
46,15,16811,33623,25,4,ood
47,16,32771,65543,25,0,calibration
48,16,32789,65579,4,1,development
49,16,32843,65687,25,2,confirmatory
50,16,32933,65867,4,3,steering
51,16,33023,66047,25,4,ood
52,17,65633,131267,4,0,calibration
53,17,65651,131303,25,1,development
54,17,65843,131687,25,2,confirmatory
55,17,65963,131927,25,3,steering
56,17,66029,132059,4,4,ood
57,18,131321,262643,4,0,calibration
58,18,131441,262883,4,1,development
59,18,131591,263183,25,2,confirmatory
60,18,131711,263423,25,3,steering
61,18,131759,263519,49,4,ood
