latent_id,a,x,split
0,1,0,test
1,1,1,test
2,1,2,test
3,1,3,train
4,1,4,train
5,1,5,test
6,1,6,test
7,1,7,test
8,1,8,train
9,1,9,test
10,1,10,train
11,1,11,test
12,1,12,test
13,1,13,train
14,1,14,train
15,1,15,train
16,1,16,train
17,1,17,test
18,1,18,test
19,1,19,train
20,1,20,test
21,1,21,train
22,1,22,train
23,1,23,test
24,1,24,train
25,1,25,test
26,1,26,train
27,1,27,test
28,1,28,test
29,1,29,test
30,1,30,test
31,1,31,train
32,1,32,test
33,1,33,test
34,1,34,train
35,1,35,test
36,1,36,train
37,1,37,test
38,1,38,test
39,1,39,test
40,1,40,test
41,1,41,test
42,1,42,test
43,1,43,test
44,1,44,test
45,1,45,train
46,1,46,test
47,1,47,test
48,1,48,test
49,1,49,test
50,1,50,test
51,1,51,train
52,1,52,test
53,1,53,test
54,1,54,test
55,1,55,train
56,1,56,test
57,1,57,train
58,1,58,test
59,1,59,test
60,1,60,test
61,1,61,train
62,1,62,test
63,1,63,train
64,1,64,train
65,1,65,train
66,1,66,test
67,1,67,test
68,1,68,test
69,1,69,test
70,1,70,train
71,1,71,train
72,1,72,test
73,1,73,test
74,1,74,test
75,1,75,train
76,1,76,test
77,1,77,test
78,1,78,train
79,1,79,test
80,1,80,train
81,1,81,test
82,1,82,train
83,1,83,train
84,1,84,test
85,1,85,test
86,1,86,test
87,1,87,test
88,1,88,test
89,1,89,train
90,1,90,test
91,1,91,test
92,1,92,test
93,1,93,test
94,1,94,test
95,1,95,test
96,1,96,test
97,1,97,test
98,1,98,train
99,1,99,test
100,1,100,test
101,1,101,test
102,1,102,train
103,1,103,test
104,1,104,test
105,1,105,test
106,1,106,test
107,1,107,test
108,1,108,test
109,1,109,train
110,1,110,test
111,1,111,test
112,1,112,test
113,2,0,train
114,2,1,test
115,2,2,train
116,2,3,test
117,2,4,test
118,2,5,test
119,2,6,test
120,2,7,test
121,2,8,train
122,2,9,test
123,2,10,test
124,2,11,test
125,2,12,test
126,2,13,test
127,2,14,train
128,2,15,test
129,2,16,train
130,2,17,test
131,2,18,train
132,2,19,test
133,2,20,test
134,2,21,test
135,2,22,test
136,2,23,train
137,2,24,train
138,2,25,test
139,2,26,train
140,2,27,train
141,2,28,train
142,2,29,test
143,2,30,test
144,2,31,test
145,2,32,test
146,2,33,train
147,2,34,train
148,2,35,train
149,2,36,test
150,2,37,test
151,2,38,test
152,2,39,test
153,2,40,test
154,2,41,test
155,2,42,train
156,2,43,test
157,2,44,test
158,2,45,test
159,2,46,train
160,2,47,train
161,2,48,test
162,2,49,test
163,2,50,train
164,2,51,train
165,2,52,train
166,2,53,test
167,2,54,test
168,2,55,train
169,2,56,train
170,2,57,train
171,2,58,train
172,2,59,test
173,2,60,train
174,2,61,test
175,2,62,test
176,2,63,test
177,2,64,test
178,2,65,train
179,2,66,train
180,2,67,test
181,2,68,test
182,2,69,test
183,2,70,test
184,2,71,test
185,2,72,test
186,2,73,test
187,2,74,test
188,2,75,test
189,2,76,test
190,2,77,test
191,2,78,train
192,2,79,train
193,2,80,train
194,2,81,test
195,2,82,test
196,2,83,test
197,2,84,test
198,2,85,test
199,2,86,test
200,2,87,test
201,2,88,test
202,2,89,test
203,2,90,test
204,2,91,test
205,2,92,train
206,2,93,train
207,2,94,test
208,2,95,test
209,2,96,train
210,2,97,train
211,2,98,train
212,2,99,train
213,2,100,test
214,2,101,test
215,2,102,test
216,2,103,train
217,2,104,train
218,2,105,train
219,2,106,test
220,2,107,test
221,2,108,train
222,2,109,train
223,2,110,test
224,2,111,test
225,2,112,test
226,3,0,test
227,3,1,train
228,3,2,test
229,3,3,test
230,3,4,test
231,3,5,test
232,3,6,train
233,3,7,test
234,3,8,test
